Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Series A - NomuPay,https://www.crunchbase.com/funding_round/nomu-pay-series-a--5269108b,Series A,53600000,USD,53600000,2023-05-31,2,1,"NomuPay develops a Unified Payment Platform that helps to accept payments and send payouts in Southeast Asia, Europe, and Turkey.","Financial Services, Information Technology, Payments","Dublin, Dublin, Ireland, Europe",$1M to $10M,https://www.nomupay.com,NomuPay,https://www.crunchbase.com/organization/nomu-pay
Series B - Pixxel,https://www.crunchbase.com/funding_round/pixxel-81c6-series-b--66acced0,Series B,36000000,USD,36000000,2023-06-01,7,7,Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,"Aerospace, Geospatial, Information Technology, Satellite Communication","El Segundo, California, United States, North America",,https://pixxel.space,Pixxel,https://www.crunchbase.com/organization/pixxel-81c6
Series B - Helium Health,https://www.crunchbase.com/funding_round/helium-healthcare-series-b--d115a5da,Series B,30000000,USD,30000000,2023-06-05,11,6,"Helium Health provides healthcare software for electronic medical records, hospital management, billing/medical loans, and analytics.","Electronic Health Record (EHR), Health Care, Medical, Payments, Software","Lagos, Lagos, Nigeria, Africa",,https://heliumhealth.com,Helium Health,https://www.crunchbase.com/organization/helium-healthcare
Series B - River Financial,https://www.crunchbase.com/funding_round/river-financial-series-b--8745cc10,Series B,35000000,USD,35000000,2023-05-16,8,3,River Financial is a bitcoin financial institution allowing long-term investors to buy and mine bitcoin.,"Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech","San Francisco, California, United States, North America",,https://river.com,River Financial,https://www.crunchbase.com/organization/river-financial
Series B - Hyro,https://www.crunchbase.com/funding_round/airbud-technologies-inc-series-b--a1eb62c8,Series B,20000000,USD,20000000,2023-05-31,7,7,Hyro is a plug-and-play conversational AI platform that enables enterprises to add voice and text capabilities to their digital channels.,"Artificial Intelligence, B2B, Natural Language Processing, SaaS, Virtual Assistant","New York, New York, United States, North America",,https://www.hyro.ai,Hyro,https://www.crunchbase.com/organization/airbud-technologies-inc
Series A - FLOWX.AI,https://www.crunchbase.com/funding_round/flowx-ai-series-a--c9fdddf9,Series A,35000000,USD,35000000,2023-05-22,4,2,FLOWX.AI wraps and orchestrates legacy systems that enable organizations to construct digital apps for mission-critical flows.,"Enterprise, Enterprise Applications, Enterprise Software, Insurance, Productivity Tools, Software","Bucharest, Bucuresti, Romania, Europe",,https://flowx.ai,FLOWX.AI,https://www.crunchbase.com/organization/flowx-ai
Series B - ANYbotics,https://www.crunchbase.com/funding_round/anybotics-series-b--1df7bb15,Series B,46000000,EUR,49981094,2023-05-16,10,3,ANYbotics is a robotics company that specializes in the development of advanced legged robots for industrial inspection.,"Industrial Automation, Manufacturing, Robotics","Zürich, Zurich, Switzerland, Europe",,https://www.anybotics.com,ANYbotics,https://www.crunchbase.com/organization/anybotics
Series B - Debut,https://www.crunchbase.com/funding_round/debut-biotech-series-b--f2efa013,Series B,34000000,USD,34000000,2023-06-01,7,4,Debut is an innovation company that integrates biotechnology and brand creation to build sustainable beauty businesses.,"Beauty, Biotechnology, Consumer Goods, Cosmetics, Personal Health","San Diego, California, United States, North America",Less than $1M,http://debutbiotech.com,Debut,https://www.crunchbase.com/organization/debut-biotech
Series A - Transak,https://www.crunchbase.com/funding_round/transak-series-a--94509e85,Series A,20000000,USD,20000000,2023-05-30,18,4,Transak is a global web3 payment and onboarding infrastructure provider.,"Apps, Cryptocurrency, Debit Cards, FinTech, Payments","Miami, Florida, United States, North America",,http://transak.com,Transak,https://www.crunchbase.com/organization/transak
Series A - Ethernovia,https://www.crunchbase.com/funding_round/ethernovia-series-a--20a6a6fe,Series A,64000000,USD,64000000,2023-05-15,8,2,Ethernovia is a developer of an Ethernet system that provides the next evolution in vehicle communication.,"Autonomous Vehicles, Information and Communications Technology (ICT), Network Hardware, Software","San Jose, California, United States, North America",,https://www.ethernovia.com,Ethernovia,https://www.crunchbase.com/organization/ethernovia
