Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Azteco,https://www.crunchbase.com/funding_round/azteco-seed--e06e25e4,Seed,6000000,USD,6000000,2023-05-18,9,3,Azteco is a consumer Bitcoin platform that provides Bitcoin vouchers for global financial transactions.,"Bitcoin, Consumer Software, E-Commerce, FinTech, Retail","Santa Monica, California, United States, North America",,https://azte.co,Azteco,https://www.crunchbase.com/organization/azteco
Seed Round - BBy,https://www.crunchbase.com/funding_round/bby-seed--cc71a7b8,Seed,3000000,USD,3000000,2023-05-25,4,4,BBy is a medical device company that condenses breast milk and turns it into powder.,"Baby, E-Commerce, Marketplace","New York, New York, United States, North America",Less than $1M,http://www.bbyworld.com,BBy,https://www.crunchbase.com/organization/bby
Seed Round - Koparo Clean,https://www.crunchbase.com/funding_round/koparo-clean-seed--c41ddb96,Seed,1500000,USD,1500000,2023-06-06,7,2,Koparo Clean is a sustainable home and personal hygiene D2C brand.,"Consumer, Consumer Goods, E-Commerce","Delhi, Delhi, India, Asia",,https://koparoclean.com/,Koparo Clean,https://www.crunchbase.com/organization/koparo-clean
Pre Seed Round - Presta Freedom,https://www.crunchbase.com/funding_round/presta-freedom-pre-seed--5b5bdd37,Pre-Seed,11000000,MAD,1075111,2023-05-26,1,1,Presta Freedom is a MONTHLY Subscription Platform for Home Services... And It starts with a Quick and Disruptive Home Cleaning SUBSCRIPTION.,"CleanTech, E-Commerce, Home Services, Marketplace, Service Industry, Subscription Service","Casablanca, Grand Casablanca, Morocco, Africa",,https://prestafreedom.com,Presta Freedom,https://www.crunchbase.com/organization/presta-freedom
Seed Round - Lalazhu,https://www.crunchbase.com/funding_round/lalazhu-seed--4c2ddb2c,Seed,20000000,CNY,2843332,2023-05-22,2,2,Lalazhu is an ecological service platform.,"Apps, E-Commerce, Retail","Guangzhou, Guangdong, China, Asia",,,Lalazhu,https://www.crunchbase.com/organization/lalazhu
Seed Round - LoopingOne,https://www.crunchbase.com/funding_round/loopingone-seed--ca72c390,Seed,2000000,EUR,2137380,2023-06-06,1,2,LoopingOne is a payments platform for marketplaces.,Marketplace,"Amsterdam, Noord-Holland, The Netherlands, Europe",,http://www.LoopingOne.com,LoopingOne,https://www.crunchbase.com/organization/loopingone
Seed Round - Kuaijin Store,https://www.crunchbase.com/funding_round/kuaijin-store-seed--c0858947,Seed,,,,2023-05-23,1,2,Kuaijin Store is a retail platform focused on digitalization and upgrading of traditional retail stores.,"Digital Marketing, Retail, Retail Technology","Shanghai, Shanghai, China, Asia",,https://www.ikuaijin.com/,Kuaijin Store,https://www.crunchbase.com/organization/kuaijin-store
Pre Seed Round - Locorum,https://www.crunchbase.com/funding_round/locorum-pre-seed--953c8a06,Pre-Seed,1240000,USD,1240000,2023-05-21,4,1,"Locorum is a business reward platform that provides cash back when hiring local services such as real estate, renovation, and mortgage.","Ad Retargeting, Loyalty Programs, Shopping","London, Ontario, Canada, North America",$1M to $10M,https://locorum.ca,Locorum,https://www.crunchbase.com/organization/locorum
Seed Round - Kreo,https://www.crunchbase.com/funding_round/kreo-8797-seed--17504f7d,Seed,65000000,INR,784162,2023-05-23,5,2,"Kreo is a consumer electronics brand for content creators, gamers and dreamers.","Electronics, Retail","Bengaluru, Karnataka, India, Asia",,https://kreo-tech.com/,Kreo,https://www.crunchbase.com/organization/kreo-8797
Pre Seed Round - Boxed,https://www.crunchbase.com/funding_round/boxed-08d8-pre-seed--85155934,Pre-Seed,1500000,USD,1500000,2023-05-25,6,1,Boxed operates as a Web3 loot box platform .,"Collectibles, Software",,,,Boxed,https://www.crunchbase.com/organization/boxed-08d8
