Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Hippocratic AI,https://www.crunchbase.com/funding_round/hippocratic-ai-seed--23b8eb08,Seed,50000000,USD,50000000,2023-05-16,2,1,Hippocratic AI is a technology startup that develops artificial health general intelligence (HGI).,"Artificial Intelligence, Health Care, Information Technology","California, Maryland, United States, North America",,https://www.hippocraticai.com,Hippocratic AI,https://www.crunchbase.com/organization/hippocratic-ai
Seed Round - Contextual AI,https://www.crunchbase.com/funding_round/contextual-ai-seed--ae910292,Seed,20000000,USD,20000000,2023-06-07,12,1,Contextual AI offers a pioneering approach to generative AI for the workplace.,"Artificial Intelligence, Software",,,https://contextual.ai/,Contextual AI,https://www.crunchbase.com/organization/contextual-ai
Seed Round - Hypervision Surgical,https://www.crunchbase.com/funding_round/hypervision-surgical-seed--a8cfded8,Seed,6500000,GBP,8105243,2023-06-01,4,2,"Making surgeries more precise, safer and faster. Guiding the future of surgery using AI-powered hyperspectral imaging.","Artificial Intelligence, Health Care, Machine Learning, Medical Device","London, England, United Kingdom, Europe",,https://hypervisionsurgical.com/,Hypervision Surgical,https://www.crunchbase.com/organization/hypervision-surgical
Pre Seed Round - Amini,https://www.crunchbase.com/funding_round/amini-f36a-pre-seed--f5cd1e39,Pre-Seed,2000000,USD,2000000,2023-05-18,5,1,Amini is a climate tech business that uses artificial intelligence and satellite technology to bridge Africa's environmental data.,"Aerospace, Artificial Intelligence, Geospatial, Machine Learning, Software",,,https://www.amini.ai,Amini,https://www.crunchbase.com/organization/amini-f36a
Pre Seed Round - Haiqu,https://www.crunchbase.com/funding_round/haiqu-pre-seed--cc99fde6,Pre-Seed,4000000,USD,4000000,2023-06-06,9,1,Haiqu is a quantum computing software firm focusing on the development.,"Artificial Intelligence, Hardware",,,https://www.haiqu.ai,Haiqu,https://www.crunchbase.com/organization/haiqu
Seed Round - KarmaLifeAI,https://www.crunchbase.com/funding_round/karmalifeai-seed--a7d9eb0f,Seed,440000000,INR,5336881,2023-06-01,9,4,KarmaLifeAI is a digital solution for the financial well being of blue-collar gig workers and micro-business.,"Artificial Intelligence, Finance, Financial Services, FinTech","Bangalore, Karnataka, India, Asia",,https://karmalife.ai/,KarmaLifeAI,https://www.crunchbase.com/organization/karmalifeai
Seed Round - Workhack,https://www.crunchbase.com/funding_round/workhack-seed--7651317d,Seed,1500000,USD,1500000,2023-05-15,3,1,Workhack is a generative AI platform that allows users to construct their own conversational bots by modifying templates.,"Artificial Intelligence, Gamification, Information Technology, Internet, Natural Language Processing","Lewes, Delaware, United States, North America",,https://workhack.ai,Workhack,https://www.crunchbase.com/organization/workhack
Seed Round - MindsDB,https://www.crunchbase.com/funding_round/mindsdb-seed--55d9ef1d,Seed,25000000,USD,25000000,2023-06-01,3,4,MindsDB is an open-source platform that enables developers to integrate machine learning into applications.,"Database, Machine Learning, Open Source, Predictive Analytics, Software","Berkeley, California, United States, North America",,http://mindsdb.com,MindsDB,https://www.crunchbase.com/organization/mindsdb
Seed Round - Gan.ai,https://www.crunchbase.com/funding_round/gan-ai-seed--531d7138,Seed,5250000,USD,5250000,2023-05-23,2,2,"Gan.ai allows brands to generate personalized copies of a single video recording, with variables changed in the voice and lip-sync.","Advertising, Artificial Intelligence, Information Technology, Marketing, SaaS, Video","Perrysburg, Ohio, United States, North America",,https://gan.ai,Gan.ai,https://www.crunchbase.com/organization/gan-ai
Pre Seed Round - HaiVE,https://www.crunchbase.com/funding_round/haive-d268-pre-seed--965b8e29,Pre-Seed,1000000,USD,1000000,2023-05-22,1,1,HaiVE,"Artificial Intelligence, Customer Service, Software","Singapore, Central Region, Singapore, Asia",,,HaiVE,https://www.crunchbase.com/organization/haive-d268
Pre Seed Round - Twirl,https://www.crunchbase.com/funding_round/twirl-9d5c-pre-seed--24b31883,Pre-Seed,2300000,EUR,2476980,2023-05-23,2,1,Twirl is a platform for data teams that want to ship value rather than tooling.,"Analytics, Cloud Data Services, Machine Learning","Stockholm, Stockholms Lan, Sweden, Europe",,https://twirldata.com/,Twirl,https://www.crunchbase.com/organization/twirl-9d5c
Seed Round - Vottun,https://www.crunchbase.com/funding_round/vottun-seed--e6b2eb2e,Seed,200000,EUR,214511,2023-05-25,1,4,Vottun is a platform that certify and track data for optmizing business processes using blockchain and DLT technology.,"Artificial Intelligence, B2B, Blockchain, Cryptocurrency, Ethereum, Information Technology, Machine Learning, Software, Supply Chain Management","Barcelona, Catalonia, Spain, Europe",$1M to $10M,https://www.vottun.com/,Vottun,https://www.crunchbase.com/organization/vottun
Seed Round - Galvanick,https://www.crunchbase.com/funding_round/galvanick-seed--dceb465d,Seed,10000000,USD,10000000,2023-06-01,9,2,Secure industrial operations.,"Analytics, Artificial Intelligence, Cloud Security, Cyber Security, Network Security, Software","Los Angeles, California, United States, North America",,https://www.galvanick.com,Galvanick,https://www.crunchbase.com/organization/galvanick
Seed Round - Beehive AI,https://www.crunchbase.com/funding_round/beehive-ai-seed--892196d9,Seed,5100000,USD,5100000,2023-06-01,1,2,"Beehive AI, the Qualitative Intelligence (QI) platform, is the scalable solution to answer the question of what motivates customers to act.","Artificial Intelligence, Information Technology, Intelligent Systems, Machine Learning, Software","Burlingame, California, United States, North America",$1M to $10M,https://beehive.ai/,Beehive AI,https://www.crunchbase.com/organization/beehive-ai
Pre Seed Round - Alltius Inc.,https://www.crunchbase.com/funding_round/alltius-inc-pre-seed--5030b45a,Pre-Seed,2400000,USD,2400000,2023-05-30,19,2,"A platform to develop secure, accurate and reliable, generative AI assistants for products that bring the powers of LLMs to product owners.","Artificial Intelligence, Customer Service, Machine Learning, Software","Los Angeles, California, United States, North America",,https://www.alltius.ai/,Alltius Inc.,https://www.crunchbase.com/organization/alltius-inc
Seed Round - Molar Intelligence,https://www.crunchbase.com/funding_round/molar-intelligence-seed--83a8c1b7,Seed,,,,2023-06-05,3,1,Molar Intelligence is a professional artificial intelligence data service provider.,"Artificial Intelligence, Information Technology","Hangzhou, Zhejiang, China, Asia",,https://www.molardata.com,Molar Intelligence,https://www.crunchbase.com/organization/molar-intelligence
Seed Round - Shopstory,https://www.crunchbase.com/funding_round/boomerank-seed--2c8190e1,Seed,1000000,EUR,1072558,2023-05-25,5,5,Shopstory is a SaaS that helps eCommerce companies grow automatically with help of AI and the creation of an immense data hub.,"Analytics, Artificial Intelligence, E-Commerce, Marketing Automation, SaaS","Vienna, Wien, Austria, Europe",,https://www.shopstory.ai,Shopstory,https://www.crunchbase.com/organization/boomerank
Seed Round - FruitPunch AI,https://www.crunchbase.com/funding_round/fruitpunch-ai-seed--95e1c3a0,Seed,500000,EUR,535676,2023-06-02,2,2,Platform for teaching applied AI through crowdsourced challenges. Global AI for Good community addressing real-world problems.,Artificial Intelligence,"Eindhoven, Noord-Brabant, The Netherlands, Europe",,https://fruitpunch.ai,FruitPunch AI,https://www.crunchbase.com/organization/fruitpunch-ai
Seed Round - EraNext,https://www.crunchbase.com/funding_round/eranext-seed--b59639f2,Seed,4000000,INR,48417,2023-06-06,1,1,EraNext develop technologies on IoT Platform for Connected Vehicles and AIM to develop an INFRASTRUCTURE.,"Artificial Intelligence, Automotive, Machine Learning, Software","Pune, Maharashtra, India, Asia",,https://www.eranext.in/,EraNext,https://www.crunchbase.com/organization/eranext
Seed Round - SapientAI,https://www.crunchbase.com/funding_round/sapientai-seed--e3ed0fbf,Seed,5000000,USD,5000000,2023-05-16,3,1,"SapientAI created AI Test Coder, the first platform that combines contextual insights, coding intelligence to generate correct test code.","Artificial Intelligence, Information Technology, Software","Mountain View, California, United States, North America",,https://www.sapient.ai,SapientAI,https://www.crunchbase.com/organization/sapientai
Seed Round - Boundary Intelligent Control,https://www.crunchbase.com/funding_round/boundary-intelligent-control-seed--27f84806,Seed,,,,2023-05-22,5,1,"Boundary Intelligent is specialized in creating airborne systems, such as flight control systems, that satisfy the needs of civil aircraft.","Air Transportation, Artificial Intelligence, Manufacturing","Shenzhen, Guangdong, China, Asia",,https://www.boundaryai.cn/,Boundary Intelligent Control,https://www.crunchbase.com/organization/boundary-intelligent-control
Seed Round - Sixfold AI,https://www.crunchbase.com/funding_round/sixfold-ai-seed--e3954cd2,Seed,6500000,USD,6500000,2023-05-24,2,1,Sixfold AI is a generative artificial intelligence developed and educated to handle the most difficult problems in the insurance industry.,"Artificial Intelligence, InsurTech, Productivity Tools","New York, New York, United States, North America",,https://www.sixfold.ai,Sixfold AI,https://www.crunchbase.com/organization/sixfold-ai
Seed Round - CO2OPT,https://www.crunchbase.com/funding_round/co2opt-seed--f894cf0a,Seed,,,,2023-06-06,7,2,AI driven platform for tire management in the logistics industry,"Artificial Intelligence, Information Technology, Logistics, Sustainability","Hamburg, Hamburg, Germany, Europe",,https://www.co2opt.com,CO2OPT,https://www.crunchbase.com/organization/co2opt
Seed Round - Werover,https://www.crunchbase.com/funding_round/searover-seed--6ac4e402,Seed,350000,USD,350000,2023-05-18,1,1,"Robotic, acoustic and AI solutions for renewable energies assets and wind turbines .","Artificial Intelligence, Energy, Marine Technology, Renewable Energy, Software","Bremen, Bremen, Germany, Europe",,https://www.werover.com/,Werover,https://www.crunchbase.com/organization/searover
Seed Round - bitsCrunch,https://www.crunchbase.com/funding_round/bitscrunch-seed--9045205e,Seed,,,,2023-05-30,1,4,"A Blockchain Analytics + Forensics company which is headquarted in Munich, Germany - uses AI & ML to secure the NFT Ecosystem.","Analytics, Artificial Intelligence, Blockchain, Information Technology, Machine Learning","Munich, Bayern, Germany, Europe",,https://bitscrunch.com,bitsCrunch,https://www.crunchbase.com/organization/bitscrunch
Seed Round - Rithmm,https://www.crunchbase.com/funding_round/rithmm-seed--65642657,Seed,2000000,USD,2000000,2023-06-05,6,1,Rithmm is personalized predictive analytics for sports betting.,"Analytics, Information Technology, Predictive Analytics, Sports","Chestnut Hill, Massachusetts, United States, North America",,https://www.rithmm.com/,Rithmm,https://www.crunchbase.com/organization/rithmm
Seed Round - Rosa Biotech,https://www.crunchbase.com/funding_round/rosa-biotech-seed--b29fe8b2,Seed,415000,GBP,519783,2023-05-15,,2,Rosa Biotech is an AI-driven biosensing and diagnostics company based in Bristol.,"Artificial Intelligence, Biotechnology, Machine Learning","Bristol, Bristol, City of, United Kingdom, Europe",,https://www.rosabio.tech/,Rosa Biotech,https://www.crunchbase.com/organization/rosa-biotech
Pre Seed Round - Locofy,https://www.crunchbase.com/funding_round/locofy-pre-seed--8c503396,Pre-Seed,4250000,USD,4250000,2023-05-15,2,2,Locofy provides a service that converts designs into code.,"Artificial Intelligence, Enterprise Software, Internet, Software","Singapore, Central Region, Singapore, Asia",,https://www.locofy.ai/,Locofy,https://www.crunchbase.com/organization/locofy
Pre Seed Round - Sova Health,https://www.crunchbase.com/funding_round/sova-health-pre-seed--d393bdce,Pre-Seed,,,,2023-06-08,1,4,Sova Health is a precision nutrition platform providing evidence backed personalised nutrition based on AI driven blood biomarker analysis.,"Health Care, Machine Learning, Retail, Wellness","Singapore, Central Region, Singapore, Asia",,https://www.sova.health/,Sova Health,https://www.crunchbase.com/organization/sova-health
Seed Round - Genetica,https://www.crunchbase.com/funding_round/genetica-seed--0f3fa972,Seed,500000,USD,500000,2023-05-24,4,1,"Genetica provides exact product suggestions, guaranteeing that clients obtain the best product for their wants, biochemistry.","Artificial Intelligence, Cannabis, Retail Technology, SaaS, Software, Wellness",,,https://www.getgenetica.com,Genetica,https://www.crunchbase.com/organization/genetica
Seed Round - Segmind,https://www.crunchbase.com/funding_round/segmind-seed--e1e437e6,Seed,1000000,USD,1000000,2023-05-29,4,2,Segmind is a serverless optimization and development platform to optimize algorithms for generative AI.,"Artificial Intelligence, Information Technology, Machine Learning, Software",,,https://segmind.com/,Segmind,https://www.crunchbase.com/organization/segmind
Seed Round - Huigou Sci & Tech,https://www.crunchbase.com/funding_round/huigou-sci-tech-seed--c11dcea7,Seed,,,,2023-05-18,1,1,Huigou Sci & Tech is a comprehensive Internet of Things solution provider dedicated to Internet of Things technology services.,"Artificial Intelligence, Big Data, Internet of Things","Zhengzhou, Henan, China, Asia",,http://www.huigouiot.com,Huigou Sci & Tech,https://www.crunchbase.com/organization/huigou-sci-tech
Seed Round - Modelbit,https://www.crunchbase.com/funding_round/modelbit-seed--b5c5f1fa,Seed,5000000,USD,5000000,2023-05-16,7,2,Modelbit provides deployment solutions for machine learning models.,"Cloud Data Services, Information Technology, Machine Learning, Software","San Francisco, California, United States, North America",,https://www.modelbit.com/,Modelbit,https://www.crunchbase.com/organization/modelbit
Seed Round - 8Flow.ai,https://www.crunchbase.com/funding_round/8flow-ai-seed--de8cc76a,Seed,6600000,USD,6600000,2023-06-01,11,1,Empowering enterprise support teams with AI and automation.,"Artificial Intelligence, Customer Service, Enterprise Software, IT Management, Machine Learning, SaaS, Software","Palo Alto, California, United States, North America",,https://8flow.ai,8Flow.ai,https://www.crunchbase.com/organization/8flow-ai
Pre Seed Round - Triphie,https://www.crunchbase.com/funding_round/triphie-pre-seed--896c28fd,Pre-Seed,50000,MYR,10820,2023-05-31,1,1,"Triphie is an all-in-one, customised, group trip-planning platform with AI capabilities.","Artificial Intelligence, Travel","Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",,https://triphie.com/,Triphie,https://www.crunchbase.com/organization/triphie
Seed Round - Data Masters,https://www.crunchbase.com/funding_round/data-masters-04cb-seed--b1949c0c,Seed,650000,EUR,699443,2023-06-01,1,1,"Datamasters provides artificial intelligence, machine learning, and data science skills.","Artificial Intelligence, Education, Machine Learning, Training","Bari, Puglia, Italy, Europe",,https://datamasters.it,Data Masters,https://www.crunchbase.com/organization/data-masters-04cb
Seed Round - Oii,https://www.crunchbase.com/funding_round/oii-seed--d0cc51f0,Seed,1850000,USD,1850000,2023-06-02,,1,Oii develops an AI based supply chain planning set up for meeting the strategic needs of organizations.,"Artificial Intelligence, Information Technology, Supply Chain Management","Oakland, California, United States, North America",,https://www.oii.ai/,Oii,https://www.crunchbase.com/organization/oii
