Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Number of Investors,Number of Funding Rounds,Organization Description,Organization Industries,Organization Location,Organization Revenue Range,Organization Website,Organization Name,Organization Name URL
Seed Round - Hippocratic AI,https://www.crunchbase.com/funding_round/hippocratic-ai-seed--23b8eb08,Seed,50000000,USD,50000000,2023-05-16,2,1,Hippocratic AI is a technology startup that develops artificial health general intelligence (HGI).,"Artificial Intelligence, Health Care, Information Technology","California, Maryland, United States, North America",,https://www.hippocraticai.com,Hippocratic AI,https://www.crunchbase.com/organization/hippocratic-ai
Seed Round - PharmEnable,https://www.crunchbase.com/funding_round/pharmenable-seed--25e4575f,Seed,6000000,GBP,7460366,2023-05-22,9,4,PharmEnable has developed a rapid and cost effective way to identify better chemical starting points to drive the discovery.,"Biotechnology, Life Science, Medical, Pharmaceutical","Cambridge, Cambridgeshire, United Kingdom, Europe",,http://www.pharmenable.com,PharmEnable,https://www.crunchbase.com/organization/pharmenable
Seed Round - Hypervision Surgical,https://www.crunchbase.com/funding_round/hypervision-surgical-seed--a8cfded8,Seed,6500000,GBP,8105243,2023-06-01,4,2,"Making surgeries more precise, safer and faster. Guiding the future of surgery using AI-powered hyperspectral imaging.","Artificial Intelligence, Health Care, Machine Learning, Medical Device","London, England, United Kingdom, Europe",,https://hypervisionsurgical.com/,Hypervision Surgical,https://www.crunchbase.com/organization/hypervision-surgical
Seed Round - Leadoptik,https://www.crunchbase.com/funding_round/leadoptik-seed--505f8576,Seed,5000000,USD,5000000,2023-05-22,7,6,Leadoptik is a deep-tech company specializing in building a miniature imaging platform.,"3D Technology, Information Technology, Medical Device, Software","San Jose, California, United States, North America",,https://www.leadoptik.com/,Leadoptik,https://www.crunchbase.com/organization/leadoptik
Seed Round - Figorr,https://www.crunchbase.com/funding_round/gricd-seed--a615f8d7,Seed,1500000,USD,1500000,2023-05-15,4,9,"Figorr offers internet of things solutions for the last mile delivery of temperature-controlled products such as vaccines, insulin and food.","Information Technology, Internet of Things, Pharmaceutical","Lagos, Lagos, Nigeria, Africa",$1M to $10M,https://www.figorr.com,Figorr,https://www.crunchbase.com/organization/gricd
Seed Round - Wellplaece,https://www.crunchbase.com/funding_round/wellplaece-seed--b86a08db,Seed,5500000,USD,5500000,2023-05-30,6,2,Wellplaece operates a technology company works to shape the abundant and beneficial future for dentistry imaginable.,"Dental, Information Technology","San Francisco, California, United States, North America",,https://www.wellplaece.com/,Wellplaece,https://www.crunchbase.com/organization/wellplaece
"Seed Round - HeMemics Biotechnologies, Inc.",https://www.crunchbase.com/funding_round/hememics-biotechnologies-seed--a236f233,Seed,2000000,USD,2000000,2023-05-25,1,3,The company develops a low-cost biosensor platform with graphene-based sensors to detect multiple pathogens in one test within 2 minutes.,"Biotechnology, Health Care, Health Diagnostics","Gaithersburg, Maryland, United States, North America",Less than $1M,https://www.hememics.com/,"HeMemics Biotechnologies, Inc.",https://www.crunchbase.com/organization/hememics-biotechnologies
Seed Round - G.O.A.T. Fuel,https://www.crunchbase.com/funding_round/g-o-a-t-fuel-seed--0ab8f2c0,Seed,5000000,USD,5000000,2023-05-24,2,4,G.O.A.T. Fuel develops and promotes health-forward products.,"Consumer Goods, Energy, Fitness, Food and Beverage, Personal Health","Plano, Texas, United States, North America",,https://goatfuel.com/,G.O.A.T. Fuel,https://www.crunchbase.com/organization/g-o-a-t-fuel
Seed Round - smartbax,https://www.crunchbase.com/funding_round/smartbax-seed--595bab71,Seed,1200000,EUR,1292337,2023-05-23,2,2,"smartbax develop novel multi-targeted, antibacterial compounds with extraordinary potency against multi-drug resistant bacteria.","Biotechnology, Genetics","Munich, Bayern, Germany, Europe",,https://www.smartbax.de,smartbax,https://www.crunchbase.com/organization/smartbax
Seed Round - Scarlet Therapeutics,https://www.crunchbase.com/funding_round/scarlet-therapeutics-seed--24d913f0,Seed,,,,2023-05-23,2,1,Scarlet Therapeutics,"Biotechnology, Therapeutics","Bristol, Bristol, City of, United Kingdom, Europe",,,Scarlet Therapeutics,https://www.crunchbase.com/organization/scarlet-therapeutics
Seed Round - 2070 Health,https://www.crunchbase.com/funding_round/2070-health-seed--328933eb,Seed,30000000,USD,30000000,2023-06-07,1,1,2070 Health aims to make high-quality healthcare more accessible and inexpensive.,"Fitness, Health Care, Wellness","Bandra, Maharashtra, India, Asia",,https://2070health.com,2070 Health,https://www.crunchbase.com/organization/2070-health
Pre Seed Round - Liceo de Farmacia,https://www.crunchbase.com/funding_round/liceo-de-farmacia-pre-seed--376abafe,Pre-Seed,500000,EUR,540540,2023-05-22,1,1,Liceo de Farmacia is an online platform that provides training and e-learning services for the pharmaceutical sector.,"E-Learning, Education, Pharmaceutical, Training","Seville, Andalucia, Spain, Europe",,https://liceodefarmacia.com/,Liceo de Farmacia,https://www.crunchbase.com/organization/liceo-de-farmacia
Seed Round - Huli,https://www.crunchbase.com/funding_round/huli-d3d8-seed--0580c221,Seed,5500000,USD,5500000,2023-05-26,2,3,Huli provides SaaS products and applications for independent health professionals.,"Health Care, SaaS","San José, San Jose, Costa Rica, North America",$1M to $10M,https://www.huli.io/,Huli,https://www.crunchbase.com/organization/huli-d3d8
Seed Round - Nia Health,https://www.crunchbase.com/funding_round/nia-health-seed--f42ffcbf,Seed,3500000,EUR,3805725,2023-05-15,3,1,Innovating Medical Technology,"Health Care, Health Diagnostics, Life Science, Medical Device, Personal Health, Software, Therapeutics","Berlin, Berlin, Germany, Europe",,https://www.nia-medtech.com,Nia Health,https://www.crunchbase.com/organization/nia-health
Seed Round - Karoo Health,https://www.crunchbase.com/funding_round/karoo-health-seed--3d0875d6,Seed,3400000,USD,3400000,2023-06-07,5,2,Karoo Health is a leader in tech-enabled value-based cardiovascular care solutions,"Health Care, Medical","Albuquerque, New Mexico, United States, North America",,https://www.karoohealth.com/,Karoo Health,https://www.crunchbase.com/organization/karoo-health
Seed Round - Somethings,https://www.crunchbase.com/funding_round/somethings-seed--d6e56a28,Seed,3200000,USD,3200000,2023-05-16,11,1,Somethings is a platform for wellness tailored to young people that links youngsters with qualified mentors.,"Health Care, Wellness","New York, New York, United States, North America",,https://www.somethings.com/,Somethings,https://www.crunchbase.com/organization/somethings
Seed Round - Faks,https://www.crunchbase.com/funding_round/faks-seed--413b2664,Seed,5000000,EUR,5418996,2023-05-17,3,3,Faks is a mobile application that provides exchanges between pharmacists and laboratories.,"Digital Marketing, Health Care, Mobile Apps, Pharmaceutical, Software","Paris, Ile-de-France, France, Europe",,https://www.faks.co,Faks,https://www.crunchbase.com/organization/faks
